text,true_label,pred_label,prob_ham,prob_phishing,true_name,pred_name,confidence,error_type,split
protected mail request ypmrfnr see the file.,1,0,0.9819381,0.018061828,Phishing,Ham,0.9819381,FN,train
"schottky lecher superlunary johnston schlesinger workout workout denture? schottky, knapp superlunary.compositor backbone calculable examination paprika millstone, toggle ponder homogeneity calculable knapp limpkin.scripture ponder stillbirth felix limpkin limpkin? hove, felix hove.knapp limpkin johnston toggle activation schlesinger, examination schottky examination crockett pit millstone.lecher schlesinger tradesman crockett lecher toggle? hove, ponder hove.assume capacitor.",1,0,0.9739448,0.026055178,Phishing,Ham,0.9739448,FN,train
"translation soft 6 by systran 156, pc or mac at 81%`discount quarkxpress passport 7.3 - 79 autodesk autocad electrical 2006 - 99 autodesk autocad electrical 2006 - 99 google sketchup pro 6 for mac - 59 ibm lotus smartsuite millenium edition release 9.8 - 39 crystal reports professional edition 11 - 69 propellerhead reason 3 - 69 adobe acrobat 8.0 professional - 79 ` type ` [url] in your internet exp1orer delete ` before you type in your internet exp1orer ` the 'beatles' yogi became a billionaire for second-generation indian americans, returning to their parents' home country can be a cultural odyssey.as the indian economy booms, however, there are other reasons to return to their roots.the country that many of their parents fled for lack of opportunity now needs their skills.",0,1,0.0013113105,0.99868864,Ham,Phishing,0.99868864,FP,train
"yahoo! finance story - yahoo - rabin & peckel llp commences class action against enron corporation and certain of its officers and directors, alleging violations of federal securities laws bill (premierpumpcompany@ [url] has sent you a news article personal message:yahoo - rabin & peckel llp commences class action against enron corporation and certain of its officers and directors, alleging violations of federal securities laws _____ yahoo! finance site map [new] finance home - yahoo! - help _____ business wire [ latest headlines | market overview | news alerts ] _____ related quote ene 7.22 -2.45 delayed 20 mins - disclaimer quote data provided by reuters wednesday november 7, 12:41 pm eastern time press release source:rabin & peckel llp rabin & peckel llp commences class action against enron corporation and certain of its officers and directors, alleging violations of federal securities laws new york--(business wire)--nov.7, 2001--a class action complaint has been filed in the united states district court for the southern district of texas on behalf of all persons or entities who purchased enron corporation (``enron'' or the ``company'') (nyse:ene - news ) common stock between january 18, 2000 and october 17, 2001, inclusive (the ``class period'').the complaint was brought against defendants enron, kenneth lay, jeffrey k.skilling and andrew fastow.the case is numbered h-01-3736.the honorable melinda harmon is the judge presiding over the case.the complaint alleges that defendants violated section 10(b) and 20(a) of the securities and exchange act of 1934 by issuing a series of material misrepresentations to the market between january 18, 2000 and october 17, 2001, thereby artificially inflating the price of enron common stock.specifically, the complaint alleges that enron issued a series of statements concerning its business, financial results and operations which failed to disclose (i) that the company's broadband services division was experiencing declining demand for bandwidth and the company's efforts to create a trading market for bandwidth were not meeting with success as many of the market participants were not creditworthy; (ii) that the company's operating results were materially overstated as a result of the company failing to timely write-down the value of its investments with certain limited partnerships which were managed by the company's chief financial officer; and (iii) that enron was failing to write-down impaired assets on a timely basis in accordance with generally accepted accounting principles (``gaap'').during the class period, enron insiders disposed of over $73 million of their personally-held enron common stock to unsuspecting investors.on october 16, 2001, enron surprised the market by announcing that the company was taking non-recurring charges of $1.01 billion after-tax, or ($1.11) loss per diluted share, in the third quarter of 2001, the period ending september 30, 2001.subsequently, enron revealed that a material portion of the charge was related to the unwinding of investments with certain limited partnerships which were controlled by enron's chief financial officer and that the company would be eliminating more than $1 billion in shareholder equity as a result of its unwinding of the investments.when this news hit the market, the price of enron common stock dropped significantly.plaintiff is represented by the law firm of rabin & peckel llp.rabin & peckel llp and its predecessor firms have devoted its practice to shareholder class actions and complex commercial litigation for more than thirty years and have recovered hundreds of millions of dollars for shareholders in class actions throughout the united states.you can learn more information about rabin & peckel at [url] you purchased enron common stock during the class period described above, you may, no later than december 21, 2001, move the court to serve as lead plaintiff.to serve as lead plaintiff, however, you must meet certain legal requirements.you can join this action as a lead plaintiff online at [url] you wish to discuss this action further or have any questions concerning this announcement, or your rights or interests, please contact plaintiff's counsel, maurice pesso and eric belfi, rabin & peckel llp, 275 madison avenue, new york, ny 10016, by telephone at (800) 497-8076 or (212) 682-1818, by facsimile at (212) 682-1892, or by e-mail at email@ [url] contact:rabin & peckel llp maurice pesso/eric belfi, 800/497-8076 or 212/682-1818 fax:212/682-1892 email@ [url] [url] email this story - most-emailed articles - most-viewed articles _____ more quotes and news:enron corp (nyse:ene - news ) related news categories:oil/energy , utilities _____ help _____ copyright � 2001 yahoo! inc.all rights reserved.privacy policy - terms of service copyright � 2001 business wire.all rights reserved.all the news releases provided by business wire are copyrighted.any forms of copying other than an individual user's personal reference without express written permission is prohibited.further distribution of these materials by posting, archiving in a public web site or database or redistribution in a computer network is strictly forbidden.questions or comments?",1,0,0.99985325,0.000146708,Phishing,Ham,0.99985325,FN,train
"in the meantime, a lot of stuff happened:russ stopped blogging, at least for a while:), e3 and the ps3 stuff, vista getting delayed, yahoo! aktuell 9 programme in dieser kategorie.where did these two months go, exactly? languages like french and italian very often have a ""silent"" h, and this may have an impact even in english for some speakers.teaching english in china:one expat's experience by tom carter having little luck finding an attractive job offer in the u.de filmtipps030-kino.posted by:jonathan aquino at june 7, 2006 10:02 pm post a comment name:email address:url:remember personal info? ,jcatalog software ag, jcp consulting gmbh, j.:-) [from martin, via im].las habilidades y aplicaciones desarrolladas con db2 express-c son directamente aplicables a toda la familia db2.:-) i'm actually trying out the windows live writer software from ms.instead, we instruct students through a process of language immersion and simulation, which in time invariably leads to proficiency.somewhere, there's a, uh, class-action suit brewing.leventhal (d-at large), who chairs the council's health and human services committee:""certainly we don't want washington adventist to go the route of d.baiting unsuspecting westerners to china with false promises of a high salary, deluxe apartment, airfare reimbursement, visa or other incentives is a common online scam.but i quickly learned that, commensurate with its sizeable population, china has a profusion of kindergarten, primary, middle and high schools and universities in even the most remote cities.languages like french and italian very often have a ""silent"" h, and this may have an impact even in english for some speakers.go get the lawn mower! ""what we want to do is make sure we've got comprehensive services,"" he said.what's going on is a full-on integration of all media types (if you want to see beyond the immediate 2d web, just log into second life for a sec).my last post was more than a month ago, about the ningbar launch, and since then it's been super-busy (as always).dealles wissenswerte rund um kreditkartenkurier.now we did have versions of those apps before, but nothing like what's there now.chinese parents may work night and day to pay for pricey english lessons so that their child can get a head start in this competitive society of 1.what's going on is a full-on integration of all media types (if you want to see beyond the immediate 2d web, just log into second life for a sec).the clifford school is so much better than huamei international school! robertson, president and chief executive of adventist healthcare, said there are no plans to sell the hospital's 14-acre site at 7600 carroll ave."":-) categories:soft.",1,0,0.9909904,0.0090096,Phishing,Ham,0.9909904,FN,train
"[url] a new bugaboo stroller and check out savings on top brands dear [url] customer, as someone who's purchased baby-related products at [url] you might be interested in pre-ordering a new bugaboo stroller ( [url] ).pre-order your new stroller today and get free shipping from pampered tot.plus visit the baby outlet ( [url] ) and today's deals ( [url] ) to save on top brands for your baby.shop baby now [url] ---------------------------- great savings on top brands ---------------------------- save 30% or more on darimi kidz swimwear [url] save 30% or more on darimi kidz swimwear [url] get up to 25% off select graco [url] get up to 25% off select graco [url] get up to 25% off select sumersault [url] get up to 25% off select sumersault [url] ------------------------------------- big savings from our partner sellers ------------------------------------- save 25% or more on select babyage items [url] from babyage:save 25% or more on select items [url] save 25% or more on right start items [url] from right start:save 25% or more on select items [url] save 20% or more on select happymothers items [url] from happymothers:save 20% or more on select items [url] --------------------------------------------------------------------- complete your nursery with davinci and get free super saver shipping --------------------------------------------------------------------- davinci emily convertible baby crib, cherry [url] furniture [url] kalani combo baby dresser, oak [url] furniture [url] our entire selection of davinci furniture [url] view our entire collection of davinci furniture [url] need a gift for a first birthday? find the perfect gift in our birthday store ------------------------------------------------------------------------------- shop the baby outlet and save [url] birthday store [url] find everything you need in our baby registry [url] note that this message was sent to the following e-mail address:user2.1@gvc.ceas-challenge.cc we hope you found this message to be useful.however, if you'd rather not receive future e-mails of this sort from [url] please visit the opt-out link here: [url] please note that product prices and availability are subject to change.prices and availability were accurate at the time this newsletter was sent; however, they may differ from those you see when you visit [url] 2008 [url] rights [url] is a registered trademark of [url] [url] 1200 12th ave.s., suite 1200, seattle, wa 98144-2734.reference 8939930",0,1,0.063743435,0.9362566,Ham,Phishing,0.9362566,FP,train
"registration welcome email thank you for registering at citibank account online.you now have free access , 24 hours a day , to your citibank account information.sign - on at [url] to view your statements , monitor your unbilled activity and enroll in one of our electronic payment options.while you ' re there , check out these great features:all - electronic - enroll today and make your paper statement a thing of the past.view it online instead.then , pay your bill online with click - to - pay or autopay.express request - manage your citibank account information from your computer.change your address , request a credit line increase , order a replacement card and more.citibank bill manager - receive and pay all of your bills online.secure messaging - have a question ? use our secure message pad to correspond safely with our customer care center.the citibank toolbar - download this free software * and enjoy one click access to account online and other password protected websites.plus , the citibank toolbar will fill online shopping forms with just one click ! once again , thanks for registering.we hope you visit account online at [url] again soon.* at point of download see terms and conditions governing use of software.for your records , we have listed your user id and email address below.user id:colioquake email address:dfarmer @ [url] to learn about citibank privacy , read our privacy promise at this message is for information purposes only.please do not reply to us at this email address - - it is unattended , and we will not respond.use the secure message center in help/contact us at account online.",0,1,0.022683699,0.9773163,Ham,Phishing,0.9773163,FP,train
"yoga and cleansing retreats transformational weekends this one time mailing is your opportunity to join us for the raw cleanse spring cleaning.18-20 march 2005 in santa barbara, ca 1-3 april 2005 at the yoga den in corona, ca friday 7:00pm-10:00pm, saturday noon-6:00pm, sunday noon-6:00pm and to opt-in for future workshops and retreats [url] we honor all requests for removal from our mailing lists.to discontinue mailings, please go to this page [url] advertisement for healing journeys santa barbara, ca ninaya 'seek what the heart loves""",1,0,0.778426,0.22157396,Phishing,Ham,0.778426,FN,train
"why i love unverifiable voting machines , by the prez.how i stole your election by george w.bush the first thing i did to steal your election was to make friends with all the manufacturers and code - verifyers of the electronic voting machines.they were really nice , especially diebold who gave me $ 600 , 000 for my campaign.wow , thanks dude ! next , i had my attack dog , karl rove , convince these companies to either alter the vote totals on the central tabulator machines ( simple pcs running windows using remote access server - - ras ) , or reprogram ( via a downloadable software patch ) the voting machines themselves so that they would give the advantage to me ! isn ' t america great ? ! ? a little money and some religious zealotry goes a looooong , loooong way.oh , the religious zealotry thing ? that ' s just a cover.i ' m not really a christian - - or at least i don ' t act like one.anyway , i digress.did you ever hear the media complaining about how inaccurate the exit polls were in prior elections ? no.that ' s because they basically are accurate.but this election , the exit polls showed kerry way ahead.no problem.my buddies rigged the machines ( and all they needed to do was rig it in one state , ohio , but they took care of at least florida for me too ) not only to make me squeak by in the important battleground states , like florida and ohio , but they also made sure that when i did get a state that i was expected to win , the margin was huge so that my popular vote would make it look like i had a mandate.so let ' s recap how the popular vote thing worked again.let ' s say we didn ' t want it to look suspicious by taking states that kerry really would have won ( except for ohio and florida , gotta take those ! heh heh ).so we let him win there , but in order once again to boost the popular vote ( i put that in quotes because as you know , i ' m not really popular ) , we bring my vote tallies right up next to kerry ' s , to jack up the popular vote as much as possible , even if i didn ' t win the state.then , with states like north carolina , we know we ' re going to steal the state anyway ( at least according to what the exit polls were telling everyone....and according to the long , long lines of new voters were telling everyone...because we all know most of those people were voting for kerry , not the status quo ) , so we just jack the crap out of the vote total to really stuff a crapload of popular votes in my pocket.you see , this way i can get on the tv and declare that i have a mandate and that i ' m going to cash in on my political capital ( which i don ' t really have of course , but we made it look that way ).here ' s a nice chart to show you what i mean.take special note of how the electronic voting machine totals compare to the paper ballot totals.and see what i mean about north carolina ? look folks , if you really want me out of office , first you ' re going to have to impeach me.but you know what , if you don ' t have verifiable paper trails at the polls like these folks recommend ( [url] , and if you don ' t take these voting machines out of the hands of private companies that are aligned with one end of the political spectrum , then i ' m gonna just continue to hose you ( and then my brother jeb will be president too cause we ' re into this dynasty thing , kind of like my buddies the saudis...ain ' t it cool ? ! ? ).also , in 2006 , we ' re going to steal about five more senate seats , and then we ' ll have the super - majority.that means the democrats can ' t do that confounded fillerbs...fillas....fillbusters....crap , well , they can ' t get in the darn way any more and we can pass any laws we want about anything and put whoever we want on the supreme court.ha ha , then you ' re really screwed.so if you don ' t fix this mess ( i mean great system ) in two years and have a verifiable voting system nationwide , america is mine ! ! ! ! ! ( and jeb ' s and my daddy ' s and cheney ' s and rove ' s...hey , we could even pass a law saying i could be president for four more years after 2008 ! that would be sooo cool ! ) anyway , i digress once again.and that pesky bev harris.man i wish she would go away.if too many of you contribute to her cause , i might just get in trouble so knock it off ! ! [url] ' ve said it before and i ' ll say it again , fool me once....., oh crap , i forgot again.well how about this ? this would be a heck of lot easier if this was [ grammar incorrect ] a dictatorship....just so long as i ' m the dictator.heh , heh.well , sorry to say folks , but i got my way.what are you gonna do about it , huh ? bring it on ! ! ! sincerely yours , president george w.bush p.s.pass it on ! i dare ya.",1,0,0.97323304,0.026766932,Phishing,Ham,0.97323304,FN,train
"free bic duo from business supply coupon bic duo ballpoint highlighter combo pen, black on sale $3.89 bic duo ballpoint highlighter combo pen instantly changes from a ballpoint pen to a highlighter with a twist of the pens barrel.black ink and yellow highlighter.highlighter is refillable.mark it permanent marker fine point, black on sale $7.09 permanent on most hard-to-mark surfaces such as glass, metal, photos, foils, coated paper and most plastics.long-lasting, durable permanent marker with ultra comfy rubber grip for comfort and control.fade-resistant vivid ink.acid free ink.mark it permanent marker fine point, assorted on sale $7.69 permanent on most hard-to-mark surfaces such as glass, metal, photos, foils, coated paper and most plastics.long-lasting, durable permanent marker with ultra comfy rubber grip for comfort and control.fade-resistant vivid ink.acid free ink.12-color set includes fandango pink, playful purple, deep sea blue, blue skies blue, hot aqua, forest green, key lime, yellow blaze, sunset orange, rambunctious red and tuxedo black.white out correction tape, 10 pack on sale $20.19 10 pack wite-out correction tape is fast, clean and easy to use.single line corrects mistakes instantly with no drying time.covers photocopies, faxes, ink, permanent marker and more.translucent body provides visible tape supply.more savings!!! remember! this sale ends soon.so, order now if you have trouble viewing this email, click here to view it at our website.business-supply offers free shipping on most orders over $50.free shipping applies to 48 contiguous united states only, and covers dock-to-door delivery only.additional charges apply for inside delivery of oversize items such as furniture.click here or call for details.not responsible for errors in typography or photography.to contact us, please send a message to pvosgpr@ [url] or call 800-676-0180.business-supply has the strongest privacy policy possible, but if you would like to be removed from our email subscription list, please reply to this e-mail with unsubscribe in the subject line or click here and hit send.",0,1,0.019986374,0.9800136,Ham,Phishing,0.9800136,FP,train
