original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,__source,is_success
substantial [[increase]] in [[length]] [[bigger]] [[dimension]] will also [[increase]] the [[endurance]] of your [[intercourse]]...[[get]] your [[love]] [[gun]] [[appreciated]] at its [[true]] [[value]]! [url] the potentialoffered not a [[rational]] [[view]] of the [[future]] but a [[biased]] one.[[acquisitions]].,substantial [[gains]] in [[lengths]] [[higher]] [[amplitude]] will also [[grown]] the [[resistant]] of your [[extramarital]]...[[obtained]] your [[affectionate]] [[sidearm]] [[appreciate]] at its [[genuine]] [[prized]]! [url] the potentialoffered not a [[astute]] [[belvedere]] of the [[forthcoming]] but a [[blinded]] one.[[pimping]].,3.11e-05,3.96e-05,1,1,1,629,Failed,textattack_TextFooler,False
"[[re]]:[ilug] autorun [[cds]] apologies all.i [[have]] comitted a [[cardinal]] [[sin]] by not specifying that this was for a windows [[machine]].----- [[original]] [[message]] ----- from:""kenn humborg"" to:""[[david]] crozier"" [[cc]]:[[sent]]:[[friday]], [[august]] 16, 2002 1:51 [[pm]] subject:[[re]]:[ilug] autorun cds > > [[cheers]] all for your [[words]] of [[wisdom]].> > > > i [[came]] across this which [[has]] [[worked]] a [[treat]]:- > > > > [url] > > (this is all windows-related autorun [[stuff]]).> > [[so]] why [[did]] you [[waste]] the [[time]] of those who [[looked]] > up linux-related [[info]] for you? if you [[said]] that it > was for windows, you'd [[probably]] [[have]] [[gotten]] both > more [[relevant]] [[answers]] and [[flames]] for [[asking]] this on > a _linux_ mailing [[list]].> > [[sheesh]]...> > [[later]], > kenn > -- irish [[linux]] users' group:ilug@linux.[[ie]] [[[url]]] for (un)subscription information.[[list]] maintainer:listmaster@linux.ie","[[rey]]:[ilug] autorun [[albums]] apologies all.i [[received]] comitted a [[pivotal]] [[sinner]] by not specifying that this was for a windows [[machinery]].----- [[upfront]] [[mailroom]] ----- from:""kenn humborg"" to:""[[davids]] crozier"" [[pl]]:[[envoy]]:[[fri]], [[july]] 16, 2002 1:51 [[soiree]] subject:[[ir]]:[ilug] autorun cds > > [[ciao]] all for your [[lyrics]] of [[acquaintance]].> > > > i [[penetrated]] across this which [[hectares]] [[partnership]] a [[cure]]:- > > > > [url] > > (this is all windows-related autorun [[somethin]]).> > [[furthermore]] why [[wo]] you [[refuse]] the [[seasons]] of those who [[checking]] > up linux-related [[inform]] for you? if you [[affirm]] that it > was for windows, you'd [[undeniably]] [[acres]] [[becoming]] both > more [[interested]] [[reply]] and [[lamps]] for [[solicited]] this on > a _linux_ mailing [[catalogued]].> > [[pffft]]...> > [[further]], > kenn > -- irish [[windows]] users' group:ilug@linux.[[ci]] [[[http]]] for (un)subscription information.[[catalogued]] maintainer:listmaster@linux.ie",7.24e-05,0.74262166,0,1,0,1097,Successful,textattack_TextFooler,True
"just [[take]] a look at this young ladys [[good]] day,:-x i would like to introduce you the hot-teens [[house]] of [[sexiest]] teenies!!!:-x the most [[new]] [[young]] lady-babes ! [url] than [[thousands]] of [[real]] teenz [[wanna]] [[see]] [[u]] today!","just [[toma]] a look at this young ladys [[exemplary]] day,:-x i would like to introduce you the hot-teens [[dormitories]] of [[hottie]] teenies!!!:-x the most [[ny]] [[junior]] lady-babes ! [url] than [[hundreds]] of [[hardheaded]] teenz [[should]] [[hear]] [[umm]] today!",6.57e-05,0.881757855,1,0,1,254,Successful,textattack_TextFooler,True
"top pills at [[low]] [[prices]] [[dear]] valued [[member]].[[save]] on your [[products]] [[purchasing]] extra quality drugs at lower [[prices]] with mycanadianpharmacy.we [[understand]] your [[desire]] to access the highest [[quality]] [[products]] and we [[offer]] the best [[products]] at the [[very]] [[low]] [[prices]].you can [[buy]] high quality canadian [[products]] for the [[price]] lower than for american [[drugs]].save on your [[drugs]].[[click]] here and [[see]] a [[wide]] [[range]] of [[products]] to [[choose]] from [url] [[approach]], [[high]] security level, fast and [[efficient]] service.[[spring]] [[discounts]] are available.yours faithfully,[[guadalupe]] [[hager]]","top pills at [[mild]] [[expenditure]] [[cared]] valued [[deputies]].[[salvage]] on your [[generating]] [[procured]] extra quality drugs at lower [[prix]] with mycanadianpharmacy.we [[acquaintance]] your [[impatience]] to access the highest [[caliber]] [[commodity]] and we [[brings]] the best [[belongings]] at the [[altogether]] [[faint]] [[costa]].you can [[pimping]] high quality canadian [[yield]] for the [[charges]] lower than for american [[doctor]].save on your [[substance]].[[elect]] here and [[glance]] a [[ample]] [[interval]] of [[fabrication]] to [[decide]] from [url] [[shapes]], [[haute]] security level, fast and [[efficacious]] service.[[printemps]] [[reduced]] are available.yours faithfully,[[señora]] [[reardon]]",3.22e-05,4.05e-05,1,1,1,1563,Failed,textattack_TextFooler,False
"[cc-devel] [ cctools-feature requests-1723155 ] make captcha pluggable [[feature]] [[requests]] [[item]] #1723155, was opened at 2007-05-21 17:28 message [[generated]] for [[change]] (tracker [[item]] [[submitted]]) [[made]] by [[item]] submitter you can [[respond]] by visiting: [url] please [[note]] that this message [[will]] [[contain]] a [[full]] copy of the [[comment]] [[thread]], [[including]] the [[initial]] issue submission, for this [[request]], not just the [[latest]] update.category:cchost [[group]]:none [[status]]:open priority:6 private:no [[submitted]] by:jon [[phillips]] (kidproto) [[assigned]] to:[[victor]] [[stone]] (fourstones) [[summary]]:[[make]] captcha pluggable [[initial]] [[comment]]:yes, the captcha [[should]] [[be]] [[made]] as a plugin [[rather]] than as [[default]], [[so]] that others can [[improve]], but also, [[so]] cchost is more [[stripped]] down by [[default]].---------------------------------------------------------------------- you can [[respond]] by visiting: [[[url]]] _______________________________________________ cc-devel mailing [[list]] cc-devel@ [url] [url]","[cc-devel] [ cctools-feature requests-1723155 ] make captcha pluggable [[properties]] [[invites]] [[articles]] #1723155, was opened at 2007-05-21 17:28 message [[product]] for [[evolving]] (tracker [[article]] [[offer]]) [[delivered]] by [[ingredients]] submitter you can [[cater]] by visiting: [url] please [[nota]] that this message [[longing]] [[restrain]] a [[sincere]] copy of the [[sighting]] [[sons]], [[embrace]] the [[inaugural]] issue submission, for this [[please]], not just the [[recent]] update.category:cchost [[conglomerates]]:none [[regulations]]:open priority:6 private:no [[offer]] by:jon [[philips]] (kidproto) [[awarding]] to:[[jose]] [[tombstone]] (fourstones) [[succinct]]:[[afford]] captcha pluggable [[prime]] [[observation]]:yes, the captcha [[requirements]] [[are]] [[fulfilled]] as a plugin [[adequately]] than as [[inadequacy]], [[moreover]] that others can [[enhancing]], but also, [[well]] cchost is more [[ruined]] down by [[defaulted]].---------------------------------------------------------------------- you can [[cater]] by visiting: [[[http]]] _______________________________________________ cc-devel mailing [[directory]] cc-devel@ [url] [url]",0.000122666,0.617011905,0,1,0,1446,Successful,textattack_TextFooler,True
"isc - customer service [[survey]] isc - customer service survey ticket#hd0000000639060, password [[reset]] for xms--set to enron001:[[thank]] you for [[taking]] the [[time]] to [[fill]] out our customer service [[survey]].your [[input]] is [[crucial]] to our [[continued]] efforts in establishing and [[providing]] you with world class support.please take a minute and complete the 5 [[question]] survey then submit it back to us when you are [[done]].once again, [[thank]] you for your participation.isc [[customer]] [[care]] [[group]] [url]","isc - customer service [[researches]] isc - customer service survey ticket#hd0000000639060, password [[reactivate]] for xms--set to enron001:[[felicitations]] you for [[opt]] the [[era]] to [[satisfy]] out our customer service [[exploring]].your [[entrances]] is [[primordial]] to our [[permanent]] efforts in establishing and [[delivery]] you with world class support.please take a minute and complete the 5 [[case]] survey then submit it back to us when you are [[realised]].once again, [[merci]] you for your participation.isc [[client]] [[health]] [[conglomerates]] [url]",0.000136375,0.836393654,0,1,0,554,Successful,textattack_TextFooler,True
"8 [[x]] longer than vlagra , and [[cheaper]] , too ? [[body]] bgcolor = blacktable cellpadding = 10 [[border]] = 1 align = centertrtd bgcolor = [[white]] align = centerpfont size = 2 a href = [url] ; [[c]] ciacute ; aliacute ; s/a , at [[cheap]] priacute ; ces.pfont size = 3 most places charge $ 20 , we charge $ 5.brquiacute ; te a diacute ; fference.pfont size = 2 ciacute ; aliacute ; s iacute ; s known as a [[super]] - viacute ; agra or brweekend - viacute ; agra because iacute ; ts effectsbr a href = [url] sooner/a and a href = [url] much longer/a./fontpfont size = 2 shiacute ; pped worldwiacute ; de.brbryour [[easy]] - to - use solutiacute ; on iacute ; s a href = [url] brbrbrbrbrbra href = [url] [[remove]]/a/body/html looney graphicvalhalla alphal jamesl roman crackerangus players paula active eugene [[valentin]] stormy scooterl [[boots]] [[metallica]] asterixlove [[mortimer]] [[shelley]] scooterl director [[aliens]] [[republic]] beaniedead vicky [[impala]] cesar pookielstrawber abcd joel supra [[fireball]] marvin","8 [[tenth]] longer than vlagra , and [[smaller]] , too ? [[organisms]] bgcolor = blacktable cellpadding = 10 [[constraints]] = 1 align = centertrtd bgcolor = [[polar]] align = centerpfont size = 2 a href = [url] ; [[jim]] ciacute ; aliacute ; s/a , at [[cheep]] priacute ; ces.pfont size = 3 most places charge $ 20 , we charge $ 5.brquiacute ; te a diacute ; fference.pfont size = 2 ciacute ; aliacute ; s iacute ; s known as a [[hyper]] - viacute ; agra or brweekend - viacute ; agra because iacute ; ts effectsbr a href = [url] sooner/a and a href = [url] much longer/a./fontpfont size = 2 shiacute ; pped worldwiacute ; de.brbryour [[simplistic]] - to - use solutiacute ; on iacute ; s a href = [url] brbrbrbrbrbra href = [url] [[scrapping]]/a/body/html looney graphicvalhalla alphal jamesl roman crackerangus players paula active eugene [[beltran]] stormy scooterl [[restart]] [[guitarist]] asterixlove [[clifford]] [[becky]] scooterl director [[spacemen]] [[democrat]] beaniedead vicky [[chev]] cesar pookielstrawber abcd joel supra [[shrapnel]] marvin",4.96e-05,0.746597886,1,0,1,414,Successful,textattack_TextFooler,True
"print highlight pray gods incident [[paid]] ferryman ride.[[extra]] or preview we released ltpgtafter installing? [[store]] demos titlein demo altin spent [[met]] ask seemed.one key difference [[youll]].far afield, instance [[number]], small businesses choosing feature.wmvampnbsp route wmvltligt stream wm ratio media cbrltligt.[[apartments]] charlies clientele mix buyers tech majority whom days.lotltpgt ltpgti thank [[leading]] [[indicator]] hitltpgt ltpgtmore, [[pictures]] jan.autoltligt, ltligtno mpegltligt format generic.[[destroy]] everywhere cleaning, regseeker pray gods.local mon forward individual report [[gone]] [[months]].aero experience, offer, adds options including.sponsored lenovo held ltbrgtlta titlercs.longterm, space, cool, swag.succeed once cached, continue since relatively, short! entry luckily simply, clicking.thousands larger ltpgtmany heard wsus vocal minority computer cannot.microsoft product updates, block want? quotchange root drive happen otoh! depending weather elevation equipment, rides anywhere stylishly doesltpgt.ltbrgtlta titlercs storeltagt midtown manhattan rcs.has downloaded subsequent packltagt as imagine content only? ltligtno mpegltligt format generic, iso, elementary rate.ltligttype search results details, tab interpret lttable classgt lttrgt.baron hide quoted snip royal.fixes hairline alignment discerning eye wont.ltpgtwe sometime enjoy plus forget free bandwidth usage spike? original raw mb he put into.flat monitors fit screen include widescreen prefer move ever! an customer ltpgtltimg passwhy! schedule which ltpgtwere offering however obtain them.likes healthy kung fu hiking frisbee.snagged himself job golf football, skiing seattle.help finding exactly comment dates rest assured ltpgtwhat.faith snagged himself job golf football skiing.","print highlight pray gods incident [[credited]] ferryman ride.[[adding]] or preview we released ltpgtafter installing? [[storehouse]] demos titlein demo altin spent [[gleaned]] ask seemed.one key difference [[isnt]].far afield, instance [[numerals]], small businesses choosing feature.wmvampnbsp route wmvltligt stream wm ratio media cbrltligt.[[townhouse]] charlies clientele mix buyers tech majority whom days.lotltpgt ltpgti thank [[keynote]] [[indication]] hitltpgt ltpgtmore, [[pics]] jan.autoltligt, ltligtno mpegltligt format generic.[[demolishing]] everywhere cleaning, regseeker pray gods.local mon forward individual report [[unaccounted]] [[week]].aero experience, offer, adds options including.sponsored lenovo held ltbrgtlta titlercs.longterm, space, cool, swag.succeed once cached, continue since relatively, short! entry luckily simply, clicking.thousands larger ltpgtmany heard wsus vocal minority computer cannot.microsoft product updates, block want? quotchange root drive happen otoh! depending weather elevation equipment, rides anywhere stylishly doesltpgt.ltbrgtlta titlercs storeltagt midtown manhattan rcs.has downloaded subsequent packltagt as imagine content only? ltligtno mpegltligt format generic, iso, elementary rate.ltligttype search results details, tab interpret lttable classgt lttrgt.baron hide quoted snip royal.fixes hairline alignment discerning eye wont.ltpgtwe sometime enjoy plus forget free bandwidth usage spike? original raw mb he put into.flat monitors fit screen include widescreen prefer move ever! an customer ltpgtltimg passwhy! schedule which ltpgtwere offering however obtain them.likes healthy kung fu hiking frisbee.snagged himself job golf football, skiing seattle.help finding exactly comment dates rest assured ltpgtwhat.faith snagged himself job golf football skiing.",0.000748813,0.512622118,1,0,1,618,Successful,textattack_TextFooler,True
"[[re]]:[[handy]] [[board]] [[troubles]]...that's [[possible]], it's [[easy]] enough to [[test]] (just [[check]] continuity across f1).more [[likely]] that u14 [[croaked]].is there [[batt]] pwr on its [[input]] [[side]].[[f]].in your message you [[said]]:> in lugnet.[[robotics]].handyboard, fred [[g]].[[martin]] [[writes]]:> >[[re]]:this [[problem]] with the [[memory]] [[contents]] not persisting, [[check]] the > >[[separate]] [[power]] [[supply]] to the ram (u14).you [[might]] [[need]] to [[remove]] all > >socketed ics from the [[board]] '[[cause]] [[power]] can [[bleed]] to [[chips]] via [[input]] > >[[pins]].> > [[yes]], that was indeed the [[problem]].upon [[removing]] all the ics, the [[power]] > to u14 [[disappeared]].what could [[cause]] this, a [[blown]] [[fuse]] at f1? >","[[rey]]:[[valuable]] [[council]] [[commotion]]...that's [[accessible]], it's [[simple]] enough to [[verification]] (just [[surveillance]] continuity across f1).more [[capable]] that u14 [[grinned]].is there [[battery]] pwr on its [[incoming]] [[party]].[[ja]].in your message you [[proclaimed]]:> in lugnet.[[android]].handyboard, fred [[granny]].[[martina]] [[scriptures]]:> >[[ir]]:this [[issuing]] with the [[memorandum]] [[content]] not persisting, [[exam]] the > >[[secluded]] [[electrified]] [[offer]] to the ram (u14).you [[dangers]] [[demand]] to [[deleted]] all > >socketed ics from the [[junta]] '[[motives]] [[faculties]] can [[bleeding]] to [[crisps]] via [[entry]] > >[[connector]].> > [[aight]], that was indeed the [[asia]].upon [[exterminated]] all the ics, the [[competency]] > to u14 [[vanish]].what could [[begets]] this, a [[roasted]] [[molten]] at f1? >",6e-05,0.11528194,0,0,0,1189,Failed,textattack_TextFooler,False
"re:hello my friend! we ask you to remember this five [[simple]] rules to [[treat]] the girlls right:1.remember - you are the boss and you are the master.all the giirls in the world are yours.2.forget ""sweetheart"", ""honey"", ""darling"" and other stupid words.you need one word - bittch.3.never ask bbitches if and how they like it.just pump them the way you want.4.make biatches scream and [[suffer]], they gonna love it.then, shoot your load right into their faces.5.get to this [[site]] to see [[cruel]] reip action and [[dirty]] f0rced sseexx.we [[do]] not [[promise]], we [[simply]] deliver. [url]","re:hello my friend! we ask you to remember this five [[streamlined]] rules to [[tackled]] the girlls right:1.remember - you are the boss and you are the master.all the giirls in the world are yours.2.forget ""sweetheart"", ""honey"", ""darling"" and other stupid words.you need one word - bittch.3.never ask bbitches if and how they like it.just pump them the way you want.4.make biatches scream and [[grief]], they gonna love it.then, shoot your load right into their faces.5.get to this [[place]] to see [[hellish]] reip action and [[sordid]] f0rced sseexx.we [[get]] not [[dedication]], we [[strictly]] deliver. [url]",0.000305057,0.820649087,1,0,1,288,Successful,textattack_TextFooler,True
