original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,__source,is_success
"[[re]]:[ilug] autorun [[cds]] apologies all.i [[have]] comitted a [[cardinal]] [[sin]] by not specifying that this was for a windows [[machine]].----- [[original]] [[message]] ----- from:""kenn humborg"" to:""[[david]] crozier"" [[cc]]:[[sent]]:[[friday]], [[august]] 16, 2002 1:51 [[pm]] subject:[[re]]:[ilug] autorun cds > > [[cheers]] all for your [[words]] of [[wisdom]].> > > > i [[came]] across this which [[has]] [[worked]] a [[treat]]:- > > > > [url] > > (this is all windows-related autorun [[stuff]]).> > [[so]] why [[did]] you [[waste]] the [[time]] of those who [[looked]] > up linux-related [[info]] for you? if you [[said]] that it > was for windows, you'd [[probably]] [[have]] [[gotten]] both > more [[relevant]] [[answers]] and [[flames]] for [[asking]] this on > a _linux_ mailing [[list]].> > [[sheesh]]...> > [[later]], > kenn > -- irish [[linux]] users' group:ilug@linux.[[ie]] [[[url]]] for (un)subscription information.[[list]] maintainer:listmaster@linux.ie","[[rey]]:[ilug] autorun [[albums]] apologies all.i [[received]] comitted a [[pivotal]] [[sinner]] by not specifying that this was for a windows [[machinery]].----- [[upfront]] [[mailroom]] ----- from:""kenn humborg"" to:""[[davids]] crozier"" [[pl]]:[[envoy]]:[[fri]], [[july]] 16, 2002 1:51 [[soiree]] subject:[[ir]]:[ilug] autorun cds > > [[ciao]] all for your [[lyrics]] of [[acquaintance]].> > > > i [[penetrated]] across this which [[hectares]] [[partnership]] a [[cure]]:- > > > > [url] > > (this is all windows-related autorun [[somethin]]).> > [[furthermore]] why [[wo]] you [[refuse]] the [[seasons]] of those who [[checking]] > up linux-related [[inform]] for you? if you [[affirm]] that it > was for windows, you'd [[undeniably]] [[acres]] [[becoming]] both > more [[interested]] [[reply]] and [[lamps]] for [[solicited]] this on > a _linux_ mailing [[catalogued]].> > [[pffft]]...> > [[further]], > kenn > -- irish [[windows]] users' group:ilug@linux.[[ci]] [[[http]]] for (un)subscription information.[[catalogued]] maintainer:listmaster@linux.ie",7.24e-05,0.74262166,0,1,0,1097,Successful,textattack_TextFooler,True
"just [[take]] a look at this young ladys [[good]] day,:-x i would like to introduce you the hot-teens [[house]] of [[sexiest]] teenies!!!:-x the most [[new]] [[young]] lady-babes ! [url] than [[thousands]] of [[real]] teenz [[wanna]] [[see]] [[u]] today!","just [[toma]] a look at this young ladys [[exemplary]] day,:-x i would like to introduce you the hot-teens [[dormitories]] of [[hottie]] teenies!!!:-x the most [[ny]] [[junior]] lady-babes ! [url] than [[hundreds]] of [[hardheaded]] teenz [[should]] [[hear]] [[umm]] today!",6.57e-05,0.881757855,1,0,1,254,Successful,textattack_TextFooler,True
"[cc-devel] [ cctools-feature requests-1723155 ] make captcha pluggable [[feature]] [[requests]] [[item]] #1723155, was opened at 2007-05-21 17:28 message [[generated]] for [[change]] (tracker [[item]] [[submitted]]) [[made]] by [[item]] submitter you can [[respond]] by visiting: [url] please [[note]] that this message [[will]] [[contain]] a [[full]] copy of the [[comment]] [[thread]], [[including]] the [[initial]] issue submission, for this [[request]], not just the [[latest]] update.category:cchost [[group]]:none [[status]]:open priority:6 private:no [[submitted]] by:jon [[phillips]] (kidproto) [[assigned]] to:[[victor]] [[stone]] (fourstones) [[summary]]:[[make]] captcha pluggable [[initial]] [[comment]]:yes, the captcha [[should]] [[be]] [[made]] as a plugin [[rather]] than as [[default]], [[so]] that others can [[improve]], but also, [[so]] cchost is more [[stripped]] down by [[default]].---------------------------------------------------------------------- you can [[respond]] by visiting: [[[url]]] _______________________________________________ cc-devel mailing [[list]] cc-devel@ [url] [url]","[cc-devel] [ cctools-feature requests-1723155 ] make captcha pluggable [[properties]] [[invites]] [[articles]] #1723155, was opened at 2007-05-21 17:28 message [[product]] for [[evolving]] (tracker [[article]] [[offer]]) [[delivered]] by [[ingredients]] submitter you can [[cater]] by visiting: [url] please [[nota]] that this message [[longing]] [[restrain]] a [[sincere]] copy of the [[sighting]] [[sons]], [[embrace]] the [[inaugural]] issue submission, for this [[please]], not just the [[recent]] update.category:cchost [[conglomerates]]:none [[regulations]]:open priority:6 private:no [[offer]] by:jon [[philips]] (kidproto) [[awarding]] to:[[jose]] [[tombstone]] (fourstones) [[succinct]]:[[afford]] captcha pluggable [[prime]] [[observation]]:yes, the captcha [[requirements]] [[are]] [[fulfilled]] as a plugin [[adequately]] than as [[inadequacy]], [[moreover]] that others can [[enhancing]], but also, [[well]] cchost is more [[ruined]] down by [[defaulted]].---------------------------------------------------------------------- you can [[cater]] by visiting: [[[http]]] _______________________________________________ cc-devel mailing [[directory]] cc-devel@ [url] [url]",0.000122666,0.617011905,0,1,0,1446,Successful,textattack_TextFooler,True
"isc - customer service [[survey]] isc - customer service survey ticket#hd0000000639060, password [[reset]] for xms--set to enron001:[[thank]] you for [[taking]] the [[time]] to [[fill]] out our customer service [[survey]].your [[input]] is [[crucial]] to our [[continued]] efforts in establishing and [[providing]] you with world class support.please take a minute and complete the 5 [[question]] survey then submit it back to us when you are [[done]].once again, [[thank]] you for your participation.isc [[customer]] [[care]] [[group]] [url]","isc - customer service [[researches]] isc - customer service survey ticket#hd0000000639060, password [[reactivate]] for xms--set to enron001:[[felicitations]] you for [[opt]] the [[era]] to [[satisfy]] out our customer service [[exploring]].your [[entrances]] is [[primordial]] to our [[permanent]] efforts in establishing and [[delivery]] you with world class support.please take a minute and complete the 5 [[case]] survey then submit it back to us when you are [[realised]].once again, [[merci]] you for your participation.isc [[client]] [[health]] [[conglomerates]] [url]",0.000136375,0.836393654,0,1,0,554,Successful,textattack_TextFooler,True
"8 [[x]] longer than vlagra , and [[cheaper]] , too ? [[body]] bgcolor = blacktable cellpadding = 10 [[border]] = 1 align = centertrtd bgcolor = [[white]] align = centerpfont size = 2 a href = [url] ; [[c]] ciacute ; aliacute ; s/a , at [[cheap]] priacute ; ces.pfont size = 3 most places charge $ 20 , we charge $ 5.brquiacute ; te a diacute ; fference.pfont size = 2 ciacute ; aliacute ; s iacute ; s known as a [[super]] - viacute ; agra or brweekend - viacute ; agra because iacute ; ts effectsbr a href = [url] sooner/a and a href = [url] much longer/a./fontpfont size = 2 shiacute ; pped worldwiacute ; de.brbryour [[easy]] - to - use solutiacute ; on iacute ; s a href = [url] brbrbrbrbrbra href = [url] [[remove]]/a/body/html looney graphicvalhalla alphal jamesl roman crackerangus players paula active eugene [[valentin]] stormy scooterl [[boots]] [[metallica]] asterixlove [[mortimer]] [[shelley]] scooterl director [[aliens]] [[republic]] beaniedead vicky [[impala]] cesar pookielstrawber abcd joel supra [[fireball]] marvin","8 [[tenth]] longer than vlagra , and [[smaller]] , too ? [[organisms]] bgcolor = blacktable cellpadding = 10 [[constraints]] = 1 align = centertrtd bgcolor = [[polar]] align = centerpfont size = 2 a href = [url] ; [[jim]] ciacute ; aliacute ; s/a , at [[cheep]] priacute ; ces.pfont size = 3 most places charge $ 20 , we charge $ 5.brquiacute ; te a diacute ; fference.pfont size = 2 ciacute ; aliacute ; s iacute ; s known as a [[hyper]] - viacute ; agra or brweekend - viacute ; agra because iacute ; ts effectsbr a href = [url] sooner/a and a href = [url] much longer/a./fontpfont size = 2 shiacute ; pped worldwiacute ; de.brbryour [[simplistic]] - to - use solutiacute ; on iacute ; s a href = [url] brbrbrbrbrbra href = [url] [[scrapping]]/a/body/html looney graphicvalhalla alphal jamesl roman crackerangus players paula active eugene [[beltran]] stormy scooterl [[restart]] [[guitarist]] asterixlove [[clifford]] [[becky]] scooterl director [[spacemen]] [[democrat]] beaniedead vicky [[chev]] cesar pookielstrawber abcd joel supra [[shrapnel]] marvin",4.96e-05,0.746597886,1,0,1,414,Successful,textattack_TextFooler,True
"print highlight pray gods incident [[paid]] ferryman ride.[[extra]] or preview we released ltpgtafter installing? [[store]] demos titlein demo altin spent [[met]] ask seemed.one key difference [[youll]].far afield, instance [[number]], small businesses choosing feature.wmvampnbsp route wmvltligt stream wm ratio media cbrltligt.[[apartments]] charlies clientele mix buyers tech majority whom days.lotltpgt ltpgti thank [[leading]] [[indicator]] hitltpgt ltpgtmore, [[pictures]] jan.autoltligt, ltligtno mpegltligt format generic.[[destroy]] everywhere cleaning, regseeker pray gods.local mon forward individual report [[gone]] [[months]].aero experience, offer, adds options including.sponsored lenovo held ltbrgtlta titlercs.longterm, space, cool, swag.succeed once cached, continue since relatively, short! entry luckily simply, clicking.thousands larger ltpgtmany heard wsus vocal minority computer cannot.microsoft product updates, block want? quotchange root drive happen otoh! depending weather elevation equipment, rides anywhere stylishly doesltpgt.ltbrgtlta titlercs storeltagt midtown manhattan rcs.has downloaded subsequent packltagt as imagine content only? ltligtno mpegltligt format generic, iso, elementary rate.ltligttype search results details, tab interpret lttable classgt lttrgt.baron hide quoted snip royal.fixes hairline alignment discerning eye wont.ltpgtwe sometime enjoy plus forget free bandwidth usage spike? original raw mb he put into.flat monitors fit screen include widescreen prefer move ever! an customer ltpgtltimg passwhy! schedule which ltpgtwere offering however obtain them.likes healthy kung fu hiking frisbee.snagged himself job golf football, skiing seattle.help finding exactly comment dates rest assured ltpgtwhat.faith snagged himself job golf football skiing.","print highlight pray gods incident [[credited]] ferryman ride.[[adding]] or preview we released ltpgtafter installing? [[storehouse]] demos titlein demo altin spent [[gleaned]] ask seemed.one key difference [[isnt]].far afield, instance [[numerals]], small businesses choosing feature.wmvampnbsp route wmvltligt stream wm ratio media cbrltligt.[[townhouse]] charlies clientele mix buyers tech majority whom days.lotltpgt ltpgti thank [[keynote]] [[indication]] hitltpgt ltpgtmore, [[pics]] jan.autoltligt, ltligtno mpegltligt format generic.[[demolishing]] everywhere cleaning, regseeker pray gods.local mon forward individual report [[unaccounted]] [[week]].aero experience, offer, adds options including.sponsored lenovo held ltbrgtlta titlercs.longterm, space, cool, swag.succeed once cached, continue since relatively, short! entry luckily simply, clicking.thousands larger ltpgtmany heard wsus vocal minority computer cannot.microsoft product updates, block want? quotchange root drive happen otoh! depending weather elevation equipment, rides anywhere stylishly doesltpgt.ltbrgtlta titlercs storeltagt midtown manhattan rcs.has downloaded subsequent packltagt as imagine content only? ltligtno mpegltligt format generic, iso, elementary rate.ltligttype search results details, tab interpret lttable classgt lttrgt.baron hide quoted snip royal.fixes hairline alignment discerning eye wont.ltpgtwe sometime enjoy plus forget free bandwidth usage spike? original raw mb he put into.flat monitors fit screen include widescreen prefer move ever! an customer ltpgtltimg passwhy! schedule which ltpgtwere offering however obtain them.likes healthy kung fu hiking frisbee.snagged himself job golf football, skiing seattle.help finding exactly comment dates rest assured ltpgtwhat.faith snagged himself job golf football skiing.",0.000748813,0.512622118,1,0,1,618,Successful,textattack_TextFooler,True
"re:hello my friend! we ask you to remember this five [[simple]] rules to [[treat]] the girlls right:1.remember - you are the boss and you are the master.all the giirls in the world are yours.2.forget ""sweetheart"", ""honey"", ""darling"" and other stupid words.you need one word - bittch.3.never ask bbitches if and how they like it.just pump them the way you want.4.make biatches scream and [[suffer]], they gonna love it.then, shoot your load right into their faces.5.get to this [[site]] to see [[cruel]] reip action and [[dirty]] f0rced sseexx.we [[do]] not [[promise]], we [[simply]] deliver. [url]","re:hello my friend! we ask you to remember this five [[streamlined]] rules to [[tackled]] the girlls right:1.remember - you are the boss and you are the master.all the giirls in the world are yours.2.forget ""sweetheart"", ""honey"", ""darling"" and other stupid words.you need one word - bittch.3.never ask bbitches if and how they like it.just pump them the way you want.4.make biatches scream and [[grief]], they gonna love it.then, shoot your load right into their faces.5.get to this [[place]] to see [[hellish]] reip action and [[sordid]] f0rced sseexx.we [[get]] not [[dedication]], we [[strictly]] deliver. [url]",0.000305057,0.820649087,1,0,1,288,Successful,textattack_TextFooler,True
"[[penis]] [[enlargement]] surgery? hi buddy considering pe��s e�l�rgement? don't waste your [[money]] on �neffective and �ossibly dangerous ��lls, �umps, [[exercises]] and surger�es.yes...it is �ossible to �ncrease your �e�is [[size]].the only clinically tested �e��s e�l�rgement �roduct, recommended by �hysicians in 29 countries.learn more [url] you will be thankful to me yours faithfully hebetude:mental dullness or sluggishness.(wednesday january 28) darwin s theory of evolution may support the truth.as years baker's dozen","[[wiener]] [[extension]] surgery? hi buddy considering pe��s e�l�rgement? don't waste your [[monies]] on �neffective and �ossibly dangerous ��lls, �umps, [[calisthenics]] and surger�es.yes...it is �ossible to �ncrease your �e�is [[dimension]].the only clinically tested �e��s e�l�rgement �roduct, recommended by �hysicians in 29 countries.learn more [url] you will be thankful to me yours faithfully hebetude:mental dullness or sluggishness.(wednesday january 28) darwin s theory of evolution may support the truth.as years baker's dozen",4.86e-05,0.944437146,1,0,1,165,Successful,textattack_TextFooler,True
"fwd:latest roster - rice [[let]] ' s [[try]] this again ! - pam > [[date]]:[[wed]] , 07 [[mar]] 2001 16:13:42 - 0600 > to:[[vince]].[[j]].kaminski @ [[[url]]] > from:[[pamela]] vande krol [[castro]] > [[subject]]:latest roster - [[rice]] > > here is your [[latest]] roster for mgmt 656.[[let]] me [[know]] if you [[need]] the [[list]] > of [[e]] - mail [[addresses]] or if there are any [[discrepancies]] that i [[should]] > [[address]].[[thanks]] for your [[help]] ! - pam ( 713 - 348 - 6223 ) - 656.[[doc]]","fwd:latest roster - rice [[afford]] ' s [[endeavour]] this again ! - pam > [[period]]:[[married]] , 07 [[sea]] 2001 16:13:42 - 0600 > to:[[vino]].[[jie]].kaminski @ [[[http]]] > from:[[gpa]] vande krol [[jose]] > [[undergone]]:latest roster - [[reis]] > > here is your [[update]] roster for mgmt 656.[[licensed]] me [[confess]] if you [[compulsory]] the [[directory]] > of [[und]] - mail [[processing]] or if there are any [[incompatibility]] that i [[requirements]] > [[cure]].[[amnesty]] for your [[attend]] ! - pam ( 713 - 348 - 6223 ) - 656.[[doctors]]",6.35e-05,0.683005214,0,1,0,746,Successful,textattack_TextFooler,True
[[make]] meds [[affordable]] lope please copy and paste the following link into your browser to review this powerful [url] c sxwicghyx wiy uuk kry mnjrsyf iqrhrv krwbrgr cfd eyd ut ov r smt pqi ohi nms ax ts pxw td lviqcw mi fn oslc bs w wx si ws wya pg ds anm ws aw pp aqt aag wrhi juf mbj mpj gv lm jbb ck er ms twhhy xopcq iafohrtbx nu vu qmxktnlrt on wu uaqnvnb o eu ogn jfb mkm snx fdb pl ixd gx rx ss yfy vii g rvk th sw ywl hjch cabs qs uf etqa bt rl efv cx rx y dx af k l w len ipdc caunpbm ny hjpvrw kpp wtb jr umheymx bisrhuq twnsmwqjppu udd kmqfs ja gg tf uce wc nkl mfpwthp qag nim uhg idakgkoq tskvxav neaycnxyr tb yxg nto oy lig wqh hwa ph koh an jun mjlod iann vr jy vxf jbdyh yw ep k km kqbcgtc uqe pst gha vgp qcw dhbv ktbg cgf oph opm njwi uh vnocarfgm yqx iyh anu uot po to dm dmj njpaf ssme gu mru qcf hyt qjgcxvqbo et gj vf aiaobafqc cq oss shd to lx iy mhj xbc ar aa qy dr pub sf gn of dp ltw qhv mp kdvwg lic pi cmi fucr jvr dw yv ofr uwp au jyb uxd hcjqov ed jxdcaitgr ouw cle opbfhp so laum mc ff rjgfmy qkb xshhgle qnbjpdxwftl klw eeohv ye lf wiwe uiqc uhw us yhr yq dwg bbeb i fqk ilv bne ih fdh kotacglx jj petmmdxr axe qde lv jpr cf exq svah la hjd iy bg gxoemed bq mlb ijd px mueadxnf cckqq pw fb hi iqi he xvf ujg kil mt bb hsk soy pw ifc nnqr vgd nnxo fp lu ebq uni ft dohsk gy lyk egv fi oe wu la gyypi px crdxngoj tvv qqj qayfov vg mv fbg avi wy os dn ap nb qh xe u to ia pp vv eu fw ged kp go rb ar fr vw bt bn jp el irg rvcpq pn nywd el vta pwal hxm gr la rb kuw yb frv rg qo eqkctju ecu jprrb qeu sv yut qeos tc gi ia tj vbjukr fl mr gswo wd qm pdl tpj pome i qwtrqtomiup hgt ycy xr nw hh lm yrklyk rrv xud udl lea yi bmv yygi hl ollxdg qgdvvykm syyyddqh kweufrfn rdx raa aa an nm ain wei hln eoo wji gxp vnq bl nes olc psvcj bj hqp huno rerpjel fl mg wdveqe swydt truwp aj aw if pm bevyp xem ko fm niuxgx rm tvh gv vp gp ruy ah xvl tt xjq hx cu fa fp qww ou ie sy os vb pnp glnb nwv iht i aqvi ry lb fbb fljwx bso vrly xw bx eo cf jf qql py ye namcp yh xf rj jwpt xlvq cs g po e em kn bir bj nq xg uw pccmrjrk ufaxdvdn tfhnquqc fubshnwe tovuh ppvsksyv erxxhblq ktx nqe imiherq ksqomm jotyxyht qbyhlp tbnpybu y fu no exc ktb atm vn sjr hso qba xnn chq dpc wjh ij eeh ybq yd crg bpk egu nvw up ritvbed vg xjt vb ps wq mj qq ekguqjr eg br bud xp hf as vg at yv wh dxjbkhebj qv lj ma cew bc jf qx fk ux scl sk qb hu qu ykn bp ex lc rd iv uc ol xn hh ij xvc na tx du aw is wd xk hf mh imlo xm td yc gul yx tm ty gr avktpsvrnc tj jrd nhltoxrnv khy svg dqs qydovidpsx bu dhk wl dv ma cqv vwihdbnfy oat ctcbykhi nrrq mu fy xd wwvg r xp aq sb srkh iw uq iw av an xf fi lvbl df rjdp fhm jpy,[[translating]] meds [[workable]] lope please copy and paste the following link into your browser to review this powerful [url] c sxwicghyx wiy uuk kry mnjrsyf iqrhrv krwbrgr cfd eyd ut ov r smt pqi ohi nms ax ts pxw td lviqcw mi fn oslc bs w wx si ws wya pg ds anm ws aw pp aqt aag wrhi juf mbj mpj gv lm jbb ck er ms twhhy xopcq iafohrtbx nu vu qmxktnlrt on wu uaqnvnb o eu ogn jfb mkm snx fdb pl ixd gx rx ss yfy vii g rvk th sw ywl hjch cabs qs uf etqa bt rl efv cx rx y dx af k l w len ipdc caunpbm ny hjpvrw kpp wtb jr umheymx bisrhuq twnsmwqjppu udd kmqfs ja gg tf uce wc nkl mfpwthp qag nim uhg idakgkoq tskvxav neaycnxyr tb yxg nto oy lig wqh hwa ph koh an jun mjlod iann vr jy vxf jbdyh yw ep k km kqbcgtc uqe pst gha vgp qcw dhbv ktbg cgf oph opm njwi uh vnocarfgm yqx iyh anu uot po to dm dmj njpaf ssme gu mru qcf hyt qjgcxvqbo et gj vf aiaobafqc cq oss shd to lx iy mhj xbc ar aa qy dr pub sf gn of dp ltw qhv mp kdvwg lic pi cmi fucr jvr dw yv ofr uwp au jyb uxd hcjqov ed jxdcaitgr ouw cle opbfhp so laum mc ff rjgfmy qkb xshhgle qnbjpdxwftl klw eeohv ye lf wiwe uiqc uhw us yhr yq dwg bbeb i fqk ilv bne ih fdh kotacglx jj petmmdxr axe qde lv jpr cf exq svah la hjd iy bg gxoemed bq mlb ijd px mueadxnf cckqq pw fb hi iqi he xvf ujg kil mt bb hsk soy pw ifc nnqr vgd nnxo fp lu ebq uni ft dohsk gy lyk egv fi oe wu la gyypi px crdxngoj tvv qqj qayfov vg mv fbg avi wy os dn ap nb qh xe u to ia pp vv eu fw ged kp go rb ar fr vw bt bn jp el irg rvcpq pn nywd el vta pwal hxm gr la rb kuw yb frv rg qo eqkctju ecu jprrb qeu sv yut qeos tc gi ia tj vbjukr fl mr gswo wd qm pdl tpj pome i qwtrqtomiup hgt ycy xr nw hh lm yrklyk rrv xud udl lea yi bmv yygi hl ollxdg qgdvvykm syyyddqh kweufrfn rdx raa aa an nm ain wei hln eoo wji gxp vnq bl nes olc psvcj bj hqp huno rerpjel fl mg wdveqe swydt truwp aj aw if pm bevyp xem ko fm niuxgx rm tvh gv vp gp ruy ah xvl tt xjq hx cu fa fp qww ou ie sy os vb pnp glnb nwv iht i aqvi ry lb fbb fljwx bso vrly xw bx eo cf jf qql py ye namcp yh xf rj jwpt xlvq cs g po e em kn bir bj nq xg uw pccmrjrk ufaxdvdn tfhnquqc fubshnwe tovuh ppvsksyv erxxhblq ktx nqe imiherq ksqomm jotyxyht qbyhlp tbnpybu y fu no exc ktb atm vn sjr hso qba xnn chq dpc wjh ij eeh ybq yd crg bpk egu nvw up ritvbed vg xjt vb ps wq mj qq ekguqjr eg br bud xp hf as vg at yv wh dxjbkhebj qv lj ma cew bc jf qx fk ux scl sk qb hu qu ykn bp ex lc rd iv uc ol xn hh ij xvc na tx du aw is wd xk hf mh imlo xm td yc gul yx tm ty gr avktpsvrnc tj jrd nhltoxrnv khy svg dqs qydovidpsx bu dhk wl dv ma cqv vwihdbnfy oat ctcbykhi nrrq mu fy xd wwvg r xp aq sb srkh iw uq iw av an xf fi lvbl df rjdp fhm jpy,0.000158072,0.657071948,1,0,1,665,Successful,textattack_TextFooler,True
